Population Issue,x,Run,3189 VCF Files cohort,1GP Files,x,Assay Type,BioProject,BioSample,Center Name,Consent,DNA-ID,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,Population_Description,population,ReleaseDate,Sample Name,sex,SRA Study,Super_Population_Code,Super_Population_Description,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version,culture_collection,AvgSpotLen,Bases,Coriell_panel,Family_Id,Genome_coverage,Avg rDNA Coverage,Estimated Copy #
,23159,ERR3240137,ERR3240137,ERR3240137,TRUE,WGS,PRJEB31736,SAMN00004647,NYGC,public,HG00129,2019-03-22,2019-03-22,ERX3267512,Illumina NovaSeq 6000,HG00129,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00129,male,ERP114329,EUR,European,10471742033,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-01T23:48:00Z,1,CORIELL:HG00129,300,101096829600,MGP00003,,32.61496943,3804.950053,116.6626895
,23161,ERR3240139,ERR3240139,ERR3240139,TRUE,WGS,PRJEB31736,SAMN00004649,NYGC,public,HG00131,2019-03-22,2019-03-22,ERX3267514,Illumina NovaSeq 6000,HG00131,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00131,male,ERP114329,EUR,European,10917518392,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T07:13:00Z,1,CORIELL:HG00131,300,114267955500,MGP00003,,36.86412215,6738.471308,182.7921273
,23162,ERR3240140,ERR3240140,ERR3240140,TRUE,WGS,PRJEB31736,SAMN00004650,NYGC,public,HG00132,2019-03-22,2019-03-22,ERX3267515,Illumina NovaSeq 6000,HG00132,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00132,female,ERP114329,EUR,European,9890016780,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T02:07:00Z,1,CORIELL:HG00132,300,111383787900,MGP00003,,35.93365738,6578.160658,183.0640446
,23163,ERR3240141,ERR3240141,ERR3240141,TRUE,WGS,PRJEB31736,SAMN00004651,NYGC,public,HG00133,2019-03-22,2019-03-22,ERX3267516,Illumina NovaSeq 6000,HG00133,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00133,female,ERP114329,EUR,European,14884324506,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T11:23:00Z,1,CORIELL:HG00133,300,170378106600,MGP00003,,54.96588528,9783.062115,177.9842545
,23164,ERR3240142,ERR3240142,ERR3240142,TRUE,WGS,PRJEB31736,SAMN00004654,NYGC,public,HG00136,2019-03-22,2019-03-22,ERX3267517,Illumina NovaSeq 6000,HG00136,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00136,male,ERP114329,EUR,European,9696056654,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T03:47:00Z,1,CORIELL:HG00136,300,110748125700,MGP00003,,35.72858564,9713.080442,271.8574013
,23165,ERR3240143,ERR3240143,ERR3240143,TRUE,WGS,PRJEB31736,SAMN00004655,NYGC,public,HG00137,2019-03-22,2019-03-22,ERX3267518,Illumina NovaSeq 6000,HG00137,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00137,female,ERP114329,EUR,European,11706976999,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-03T02:29:00Z,1,CORIELL:HG00137,300,111877222800,MGP00003,,36.092845,6519.990086,180.6449474
,23166,ERR3240144,ERR3240144,ERR3240144,TRUE,WGS,PRJEB31736,SAMN00004656,NYGC,public,HG00138,2019-03-22,2019-03-22,ERX3267519,Illumina NovaSeq 6000,HG00138,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00138,male,ERP114329,EUR,European,11295121352,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T08:13:00Z,1,CORIELL:HG00138,300,115738458300,MGP00003,,37.33852282,5607.698062,150.1853217
,23167,ERR3240145,ERR3240145,ERR3240145,TRUE,WGS,PRJEB31736,SAMN00004657,NYGC,public,HG00139,2019-03-22,2019-03-22,ERX3267520,Illumina NovaSeq 6000,HG00139,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00139,male,ERP114329,EUR,European,11643898683,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T08:54:00Z,1,CORIELL:HG00139,300,121594536000,MGP00003,,39.22775907,7045.98603,179.6173474
,23168,ERR3240146,ERR3240146,ERR3240146,TRUE,WGS,PRJEB31736,SAMN00004658,NYGC,public,HG00140,2019-03-22,2019-03-22,ERX3267521,Illumina NovaSeq 6000,HG00140,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00140,male,ERP114329,EUR,European,10065039241,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T09:04:00Z,1,CORIELL:HG00140,300,113709575100,MGP00003,,36.68398238,10858.49332,296.0009413
,23169,ERR3240147,ERR3240147,ERR3240147,TRUE,WGS,PRJEB31736,SAMN00004659,NYGC,public,HG00141,2019-03-22,2019-03-22,ERX3267522,Illumina NovaSeq 6000,HG00141,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00141,male,ERP114329,EUR,European,13366721077,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T09:06:00Z,1,CORIELL:HG00141,300,109561551000,MGP00003,,35.34578335,6109.752291,172.8566101
